e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21
1.46875,1.46875,1.46875,1.390625,2.59375,1.390625,1.46875,1.359375,1.390625,1.453125,1.578125,1.578125,1.578125,1.578125,2.328125,1.578125,1.578125,1.578125,1.578125,1.578125,1.578125
1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.109375,2.109375,2.109375,10.859375,10.609375,10.859375,10.859375,1.265625,1.265625,1.265625,10.4375
1.53125,1.53125,1.640625,1.53125,2.546875,6.9375,2.546875,1.640625,1.9375,7.328125,6.90625,6.9375,2.546875,2.21875,8.734375,5.640625,2.546875,2.546875,9.34375,9.140625,9.140625
2.265625,2.40625,2.265625,1.703125,2.40625,2.71875,2.265625,2.375,2.125,1.59375,2.375,2.375,2.375,2.125,1.421875,1.84375,1.421875,1.421875,1.34375,1.34375,1.421875
8.9375,8.9375,1.375,8.9375,1.375,8.9375,8.9375,8.9375,1.171875,1.375,8.9375,8.9375,1.375,9.5625,1.53125,8.9375,1.25,8.671875,8.671875,9.15625,9.15625
1.234375,1.234375,1.53125,1.234375,1.375,1.234375,10.5,1.53125,1.4375,1.5,9.921875,10.75,10.75,10.875,10.75,10.875,10.953125,10.75,10.953125,10.953125,10.953125
1.25,1.484375,1.703125,1.25,1.28125,1.25,1.765625,1.75,1.265625,1.546875,1.28125,2.859375,1.703125,1.28125,1.390625,1.703125,1.703125,1.703125,1.390625,1.78125,1.703125
2.109375,2.109375,1.46875,10.65625,1.3125,2.109375,10.65625,1.359375,1.265625,1.625,2.109375,2.109375,2.484375,10.8125,10.8125,10.8125,10.8125,10.8125,10.8125,10.8125,10.8125
9.359375,2.484375,1.453125,9.359375,3.265625,9.359375,9.359375,3.265625,2.109375,1.34375,1.3125,1.234375,9.03125,9.515625,9.25,9.515625,9.859375,9.859375,9.515625,9.515625,9.25
1.34375,2.65625,2.65625,1.71875,1.71875,2.03125,1.21875,1.671875,1.5625,1.1875,1.46875,1.421875,1.21875,2.34375,1.265625,2.34375,2.078125,1.1875,1.46875,1.515625,1.484375
1.3125,1.328125,1.3125,1.359375,1.359375,1.5,1.5,1.375,1.5,1.375,1.5,1.5,1.234375,1.5,1.5625,1.4375,1.375,1.328125,1.4375,1.4375,1.328125
1.359375,1.46875,1.359375,1.359375,1.421875,1.421875,1.421875,1.421875,1.375,1.375,1.40625,1.46875,1.359375,1.34375,1.421875,1.203125,1.4375,1.40625,1.34375,1.421875,1.40625
1.609375,1.609375,1.40625,1.484375,1.203125,1.609375,1.5625,1.40625,1.40625,1.59375,1.515625,1.515625,1.5625,9.0,1.40625,1.515625,1.59375,1.5625,1.734375,1.734375,1.5625
2.390625,2.390625,1.5625,2.390625,1.140625,2.390625,6.984375,6.984375,2.75,1.359375,7.3125,2.109375,7.578125,9.21875,8.71875,9.265625,9.609375,9.21875,9.21875,9.21875,9.671875
1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,2.15625,1.484375,2.15625,10.109375,2.15625,1.484375,1.484375,1.5625,1.5625,10.109375
1.234375,1.484375,1.5625,1.234375,1.875,1.234375,1.671875,1.59375,1.234375,1.3125,1.515625,1.234375,9.453125,1.515625,10.515625,10.515625,10.515625,10.515625,10.515625,10.515625,10.515625
1.46875,1.234375,1.578125,1.703125,1.46875,1.46875,1.578125,1.578125,1.296875,1.46875,1.234375,1.234375,2.046875,1.234375,2.15625,2.453125,1.578125,1.6875,2.453125,2.453125,1.578125
1.328125,1.328125,1.328125,1.609375,1.328125,1.328125,1.609375,1.328125,1.46875,1.328125,1.328125,1.46875,1.328125,1.46875,1.328125,1.46875,10.890625,1.609375,10.890625,10.890625,10.890625
2.28125,2.515625,1.625,1.78125,1.625,1.65625,1.625,1.65625,2.203125,1.34375,2.015625,2.015625,1.34375,2.015625,2.203125,2.015625,2.203125,2.203125,2.015625,2.015625,2.203125
1.953125,1.953125,1.703125,1.96875,1.953125,1.953125,6.171875,7.953125,2.34375,1.953125,1.953125,1.953125,7.953125,1.765625,9.140625,1.953125,7.953125,7.953125,2.4375,2.4375,9.28125
10.140625,1.5,1.375,10.140625,1.40625,10.140625,10.140625,1.59375,10.140625,1.9375,10.140625,10.140625,10.140625,10.09375,1.671875,10.140625,10.140625,10.140625,10.171875,10.140625,1.671875
2.390625,2.390625,2.390625,2.390625,2.390625,2.390625,2.390625,2.390625,1.328125,1.578125,7.984375,2.578125,2.390625,7.984375,2.390625,7.984375,1.921875,8.859375,8.296875,8.296875,2.390625
1.71875,1.1875,1.65625,1.3125,1.4375,1.71875,8.578125,1.5,1.3125,1.34375,8.578125,10.53125,10.265625,10.390625,9.9375,10.53125,10.53125,10.53125,9.9375,9.9375,10.140625
1.71875,2.15625,1.4375,1.421875,1.375,2.15625,10.8125,1.4375,1.5625,1.25,2.15625,10.8125,1.234375,2.15625,1.234375,1.5625,1.234375,1.234375,10.75,11.390625,2.109375
1.296875,1.1875,1.296875,1.15625,1.296875,1.1875,1.484375,1.296875,1.15625,1.1875,1.1875,8.4375,1.484375,1.1875,1.40625,1.40625,1.296875,1.40625,1.21875,1.1875,1.1875
1.375,1.484375,2.03125,1.5,1.203125,1.5,1.890625,1.34375,1.5,1.5,1.5,1.5,1.890625,1.5,1.890625,1.5,2.03125,1.5,1.5,1.5,1.890625
9.78125,9.78125,1.859375,9.78125,9.78125,9.78125,9.9375,9.9375,1.359375,9.78125,9.78125,9.78125,9.9375,1.40625,9.609375,9.78125,10.046875,10.046875,10.0,10.0,9.96875
1.625,1.28125,10.046875,10.078125,10.046875,10.078125,10.046875,10.046875,1.171875,2.03125,10.171875,10.046875,10.046875,10.171875,1.359375,10.09375,10.046875,10.09375,10.0,10.09375,10.0
1.21875,1.21875,1.3125,1.40625,1.296875,1.734375,1.53125,1.3125,1.703125,1.234375,1.21875,1.296875,1.53125,1.90625,9.203125,1.40625,1.1875,8.96875,8.96875,9.203125,9.203125
1.40625,1.5625,1.5625,1.5,1.3125,8.90625,8.90625,1.3125,1.25,2.28125,8.90625,8.90625,2.28125,1.484375,2.28125,1.484375,2.28125,2.28125,8.984375,8.984375,9.0
2.078125,2.078125,1.359375,2.0625,1.359375,1.6875,1.546875,1.359375,1.96875,1.359375,1.8125,1.34375,1.546875,1.53125,1.359375,2.078125,1.546875,1.4375,2.078125,1.53125,1.359375
1.78125,3.75,1.53125,1.140625,1.453125,1.4375,1.53125,1.9375,1.3125,1.53125,1.296875,1.375,1.53125,1.3125,1.734375,1.296875,1.453125,1.9375,1.375,1.296875,1.53125
2.796875,1.921875,1.921875,2.03125,1.921875,1.921875,1.921875,1.921875,1.28125,1.921875,1.921875,1.46875,1.921875,1.421875,1.640625,1.46875,1.734375,8.234375,1.46875,1.3125,1.890625
1.6875,2.109375,1.390625,1.90625,1.4375,1.359375,8.5,1.546875,1.875,1.21875,1.6875,1.640625,1.46875,1.6875,1.390625,1.6875,1.640625,1.40625,1.6875,1.640625,1.21875
1.859375,2.5625,1.859375,3.171875,2.5625,3.171875,3.171875,1.859375,1.328125,1.40625,3.171875,1.21875,1.859375,1.234375,1.546875,2.046875,2.0625,8.6875,8.6875,1.421875,2.34375
3.328125,3.65625,1.375,1.28125,1.375,1.28125,1.375,1.375,1.28125,1.375,1.3125,1.3125,1.375,1.1875,2.15625,1.3125,1.375,1.375,1.3125,1.515625,1.375
2.171875,2.171875,2.171875,1.71875,1.34375,1.859375,6.96875,1.5625,1.390625,1.40625,1.703125,1.703125,6.96875,1.515625,1.515625,1.703125,2.140625,1.265625,1.703125,1.703125,9.078125
3.125,3.125,3.125,1.40625,3.125,3.125,2.1875,3.125,1.40625,1.359375,1.5,1.5,3.125,1.40625,2.1875,1.5,9.390625,9.390625,1.421875,1.40625,9.3125
1.265625,1.328125,2.734375,1.265625,2.109375,1.265625,2.734375,1.1875,1.265625,2.25,1.125,1.65625,1.4375,1.265625,1.234375,1.65625,1.5625,1.65625,1.265625,1.265625,8.796875
1.53125,1.265625,1.265625,1.28125,1.53125,1.265625,1.46875,1.625,1.265625,1.265625,1.265625,1.28125,1.625,1.296875,1.4375,1.28125,1.4375,1.4375,1.28125,1.28125,1.4375
2.71875,2.71875,2.71875,2.75,2.71875,2.71875,2.71875,2.71875,2.75,2.125,8.171875,8.171875,1.578125,8.328125,1.921875,1.265625,8.125,8.078125,8.65625,1.3125,2.34375
1.875,1.875,1.78125,1.796875,1.296875,1.59375,1.640625,1.5625,1.875,1.453125,1.265625,1.8125,1.640625,1.28125,1.234375,1.28125,1.953125,1.640625,1.78125,1.21875,2.046875
1.984375,1.34375,1.34375,1.34375,1.828125,1.984375,1.984375,1.984375,1.484375,1.484375,1.28125,1.484375,1.296875,1.484375,1.296875,1.484375,1.484375,1.484375,1.484375,1.484375,1.296875
1.609375,1.609375,1.40625,1.609375,1.421875,1.171875,1.34375,1.34375,1.96875,1.421875,1.8125,1.609375,1.640625,1.28125,1.53125,1.4375,1.640625,1.640625,9.328125,9.328125,1.25
1.609375,1.609375,1.34375,1.609375,1.4375,1.609375,1.34375,1.28125,1.609375,1.34375,1.609375,1.609375,1.34375,1.609375,1.4375,1.328125,1.34375,1.34375,1.609375,1.609375,1.34375
1.21875,1.21875,1.46875,1.46875,1.609375,1.21875,1.46875,1.203125,1.21875,1.328125,1.390625,1.21875,1.53125,1.390625,1.46875,1.46875,1.46875,1.46875,1.21875,1.21875,1.46875
1.53125,1.90625,1.53125,1.484375,1.421875,10.046875,10.046875,10.046875,1.25,10.046875,10.046875,10.046875,10.078125,9.890625,9.859375,10.046875,10.078125,10.078125,10.234375,9.90625,10.0625
1.46875,1.46875,1.578125,1.328125,1.578125,1.21875,1.71875,1.4375,1.359375,1.203125,1.4375,1.3125,1.578125,9.0,1.203125,1.71875,9.0,1.34375,9.0,2.21875,8.78125
1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.21875,1.21875,1.21875,1.171875,1.21875,1.171875,2.0625,1.21875,1.3125,1.359375,1.171875,1.171875,1.265625
2.65625,1.625,2.65625,2.65625,1.515625,1.46875,1.46875,1.515625,1.46875,2.484375,2.484375,2.484375,2.484375,1.21875,2.484375,1.625,8.109375,2.484375,2.484375,2.484375,1.984375
1.59375,10.328125,1.1875,1.515625,1.3125,10.328125,10.328125,10.328125,2.125,1.3125,9.953125,9.953125,1.328125,1.25,1.328125,1.25,1.265625,1.265625,1.421875,1.21875,1.328125
1.65625,1.65625,1.40625,1.65625,1.40625,1.65625,1.65625,1.65625,2.015625,1.34375,1.359375,2.203125,1.46875,2.015625,1.65625,2.203125,1.375,1.65625,2.203125,2.203125,1.46875
1.671875,1.640625,1.328125,1.328125,1.328125,1.671875,8.859375,1.328125,1.359375,1.375,1.609375,1.328125,8.640625,2.171875,10.125,1.609375,4.046875,4.046875,1.328125,1.515625,4.046875
1.546875,1.40625,1.34375,1.546875,1.34375,1.40625,1.34375,1.34375,1.765625,1.34375,1.515625,1.515625,1.34375,1.3125,1.34375,1.953125,1.34375,1.34375,1.515625,1.953125,1.34375
1.328125,1.328125,1.421875,1.328125,1.421875,1.328125,1.328125,1.421875,1.65625,1.421875,1.328125,1.421875,1.421875,1.75,1.75,1.75,1.421875,1.75,1.75,1.421875,4.03125
1.453125,1.25,1.453125,1.453125,1.328125,1.6875,1.953125,1.96875,1.65625,1.875,1.875,1.875,1.359375,1.34375,2.09375,1.71875,2.0,1.359375,1.875,1.359375,1.5625
1.3125,1.3125,1.265625,1.265625,1.546875,1.734375,1.546875,1.546875,1.4375,1.546875,11.40625,11.40625,2.015625,1.3125,1.546875,11.40625,1.265625,1.265625,10.21875,10.21875,1.265625
1.265625,1.515625,1.375,1.265625,1.3125,1.375,1.359375,1.34375,1.25,1.875,1.375,1.40625,11.59375,1.375,1.421875,1.375,11.59375,11.71875,11.625,1.609375,11.703125
1.125,1.25,1.25,1.125,1.140625,1.3125,1.59375,1.25,1.609375,1.328125,1.34375,1.34375,1.375,1.34375,1.375,1.4375,1.359375,1.375,1.4375,1.4375,1.6875
1.671875,1.671875,1.6875,1.328125,1.6875,1.671875,1.671875,1.6875,1.3125,1.515625,1.671875,1.671875,1.65625,1.671875,1.3125,1.671875,1.84375,1.65625,1.671875,1.671875,2.234375
9.96875,9.96875,1.828125,1.546875,1.578125,9.96875,9.96875,1.3125,1.421875,1.71875,9.96875,9.96875,9.96875,9.78125,9.78125,1.34375,1.1875,9.78125,1.34375,1.421875,10.171875
2.484375,2.484375,1.359375,1.484375,1.4375,1.359375,1.328125,1.359375,1.5,2.15625,1.1875,1.4375,1.28125,1.359375,1.703125,1.265625,1.5625,1.390625,1.296875,1.296875,1.34375
1.921875,1.921875,1.484375,1.375,1.484375,11.0625,1.5625,1.484375,1.375,2.0,11.0625,11.0625,2.984375,1.515625,1.3125,9.65625,3.265625,2.0,1.515625,1.515625,2.0
10.0625,1.6875,10.0625,1.171875,10.0625,10.0625,9.921875,9.921875,1.421875,1.9375,10.0625,10.0625,10.0625,1.6875,1.875,10.0625,9.828125,1.875,9.8125,1.78125,9.8125
1.578125,1.6875,2.171875,2.421875,1.390625,1.359375,1.75,1.75,1.234375,1.296875,2.390625,1.359375,1.765625,1.359375,1.421875,1.359375,1.78125,1.421875,1.359375,1.359375,1.296875
1.984375,1.984375,1.703125,1.28125,2.375,1.296875,1.421875,2.375,1.296875,2.203125,1.296875,1.359375,1.71875,1.296875,1.796875,1.796875,1.53125,1.421875,1.828125,1.78125,1.71875
1.703125,1.703125,1.703125,1.640625,1.703125,1.703125,1.703125,1.703125,1.640625,1.234375,1.703125,1.703125,1.703125,2.0625,1.328125,1.5,1.4375,1.4375,1.5,1.59375,1.4375
1.5625,1.5625,1.765625,1.25,1.5625,1.5625,1.5,1.5,1.40625,1.984375,1.5625,1.5625,1.5625,1.375,2.109375,1.5625,2.359375,2.328125,1.375,1.21875,2.328125
1.265625,1.328125,1.25,1.5625,1.53125,1.5625,4.1875,1.84375,1.609375,1.484375,1.25,1.84375,1.84375,1.75,1.25,1.421875,3.140625,1.84375,1.265625,1.3125,2.34375
1.484375,1.484375,1.484375,1.484375,1.484375,2.109375,1.625,1.625,2.109375,2.109375,2.109375,2.109375,2.109375,2.109375,2.109375,2.109375,2.109375,2.109375,2.109375,2.109375,2.109375
1.578125,1.859375,1.140625,1.578125,1.53125,1.6875,2.046875,2.046875,1.125,1.859375,1.734375,1.578125,1.421875,1.578125,1.40625,1.375,2.03125,1.328125,1.3125,1.421875,2.109375
1.28125,1.625,1.28125,1.484375,1.5,1.53125,1.5,1.5,1.484375,1.5,9.984375,9.984375,1.203125,9.984375,1.28125,1.34375,10.0,10.0,1.8125,9.984375,10.0
1.609375,1.609375,1.609375,1.609375,2.25,1.609375,1.34375,1.34375,1.5625,1.296875,1.34375,1.34375,1.4375,10.921875,1.3125,10.921875,1.5625,10.640625,10.921875,10.921875,10.640625
1.59375,1.171875,9.453125,1.328125,1.625,9.453125,9.453125,9.453125,1.1875,1.203125,1.515625,2.25,1.9375,1.1875,1.4375,9.46875,9.5,1.265625,9.46875,9.46875,9.46875
1.921875,1.921875,1.921875,1.921875,1.703125,1.921875,9.109375,1.9375,2.015625,9.515625,10.359375,9.6875,10.421875,10.09375,10.09375,10.09375,10.09375,10.09375,10.09375,10.09375,10.09375
1.65625,1.3125,1.625,1.4375,1.3125,1.65625,1.625,1.625,1.546875,1.625,1.828125,1.3125,1.625,11.171875,1.625,11.5,11.5,1.625,11.5,11.5,1.625
1.59375,2.046875,1.3125,1.59375,1.421875,1.59375,1.3125,1.3125,1.609375,1.421875,1.59375,1.359375,1.703125,1.25,1.453125,1.421875,1.296875,1.59375,1.421875,1.421875,1.3125
1.390625,2.6875,1.46875,1.46875,2.6875,2.6875,1.46875,1.34375,1.859375,1.421875,2.6875,2.6875,1.3125,1.75,1.46875,1.625,2.15625,1.75,1.625,1.625,1.75
1.453125,1.96875,1.96875,1.453125,1.96875,9.78125,9.78125,9.78125,1.96875,1.796875,9.78125,9.78125,9.78125,1.421875,1.53125,1.421875,1.390625,1.390625,10.234375,10.234375,10.234375
1.84375,3.015625,3.015625,1.84375,3.015625,3.015625,2.296875,3.015625,2.0625,3.015625,2.0625,2.0625,1.984375,2.0625,2.0625,2.0625,2.0625,2.0625,2.0625,2.0625,2.0625
1.96875,1.3125,1.265625,1.578125,1.171875,1.609375,1.3125,1.65625,1.375,1.953125,1.984375,1.578125,1.34375,1.421875,1.546875,1.609375,2.421875,1.359375,1.515625,1.203125,2.421875
1.40625,1.28125,1.734375,1.21875,1.734375,1.25,1.734375,1.734375,1.75,1.328125,1.40625,1.21875,1.734375,1.21875,1.734375,11.171875,10.125,1.734375,10.125,10.125,1.328125
1.5,1.359375,1.8125,1.265625,1.515625,1.5,1.8125,1.359375,1.265625,9.171875,8.625,8.625,9.984375,10.375,10.828125,10.640625,10.515625,10.515625,10.515625,10.828125,10.46875
2.296875,2.296875,1.890625,1.890625,2.375,2.296875,2.140625,2.296875,1.890625,2.375,2.109375,2.109375,2.109375,1.3125,1.5,2.109375,1.65625,2.03125,1.90625,2.15625,1.65625
1.78125,1.78125,1.78125,1.78125,1.34375,1.34375,1.953125,1.578125,1.78125,1.578125,1.484375,1.5625,1.59375,2.0,2.03125,1.5625,1.171875,1.578125,1.5625,1.5625,1.96875
1.625,1.46875,1.640625,1.25,1.734375,1.390625,1.375,1.703125,1.3125,1.546875,1.8125,1.3125,1.484375,1.53125,1.484375,1.390625,1.421875,1.515625,1.25,1.625,1.375
1.28125,1.40625,1.953125,10.078125,1.953125,10.078125,10.078125,10.078125,1.953125,1.953125,10.078125,9.84375,10.078125,1.6875,1.328125,9.84375,1.453125,10.265625,10.265625,10.265625,10.390625
2.609375,2.609375,2.609375,1.59375,1.546875,1.375,10.140625,1.3125,1.203125,1.421875,10.140625,11.921875,1.796875,1.375,1.78125,11.921875,1.21875,11.921875,1.578125,1.375,9.90625
1.625,1.609375,1.625,10.671875,1.921875,10.671875,10.671875,1.625,1.609375,1.4375,10.984375,10.984375,2.171875,10.640625,1.625,1.609375,10.71875,10.71875,10.640625,10.71875,10.53125
1.421875,1.421875,9.890625,9.9375,9.890625,9.890625,9.890625,9.890625,1.546875,2.171875,9.890625,9.890625,10.0,10.21875,10.265625,10.21875,10.15625,9.875,1.46875,10.984375,10.25
1.578125,1.640625,1.921875,1.28125,1.921875,9.828125,1.921875,1.921875,1.21875,1.921875,1.515625,1.515625,1.515625,11.46875,10.671875,10.84375,10.84375,1.25,10.84375,10.84375,10.84375
