Date,Filename,yeah idk,Num Seeds,acc,TP,TN,FP,FN,F-measure,AUC,Classifier,Classifer Parameters
5/28/18,ran_7_6_10_13_14_16_17_21,29,10,68,0.68,0.68,0.32,0.32,0.68,0.68,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_4_5_7_12_14_17_19,29,10,68,0.68,0.68,0.32,0.32,0.68,0.67,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_1_2_3_9_11_12_18,29,10,67.6,0.68,0.67,0.33,0.32,0.68,0.7,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_1_8_9_12_13_16_17,29,10,67.2,0.67,0.67,0.33,0.33,0.67,0.69,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_5_8_9_12_15_16_18,29,10,67.2,0.67,0.68,0.32,0.33,0.67,0.72,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_2_6_8_12_16_19_20,29,10,67.2,0.67,0.67,0.33,0.33,0.67,0.73,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_1_3_6_11_12_16_21,29,10,67.2,0.67,0.68,0.32,0.33,0.67,0.71,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_4_8_9_12_18_19_20,29,10,67.2,0.67,0.67,0.33,0.33,0.67,0.69,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_3_4_7_8_12_15_16,29,10,67.2,0.67,0.67,0.33,0.33,0.67,0.69,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_1_5_10_11_13_17_20,29,10,67.2,0.67,0.68,0.32,0.33,0.67,0.7,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_4_6_9_14_15_19_21,29,10,66.8,0.67,0.67,0.33,0.33,0.67,0.72,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_1_4_9_11_13_16_20,29,10,66.8,0.67,0.66,0.34,0.33,0.67,0.67,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_2_6_9_11_17_18_21,29,10,66.8,0.67,0.67,0.33,0.33,0.67,0.75,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
