electrode1,electrode2,electrode3,electrode4,electrode5,electrode6,electrode7,electrode8,electrode9,electrode10,electrode11,electrode12,electrode13,electrode14,electrode15,electrode16,electrode17,electrode18,electrode19,electrode20,electrode21
-3.6185,-5.5642,-8.2862,0.49642,-5.4429,-0.38209,-1.9077,0.88367,-3.0241,-4.0426,0.10921,4.3447,1.1063,1.7955,6.2181,5.0559,4.1244,5.8858,8.9232,10.947,9.5058
-4.3797,-5.4441,-11.31,1.7079,-12.146,-0.26145,-4.0591,-1.7098,-3.3167,-4.1426,-0.69599,2.2192,-2.167,1.4499,4.3323,2.9435,1.3166,3.5673,7.5862,9.4232,7.267
-5.0494,-5.2619,-12.579,1.2335,-16.216,-0.48929,-5.6921,-3.7133,-2.8402,-4.0439,-1.4188,-0.23786,-4.257,1.7896,3.043,1.0249,-0.78671,1.9638,6.6442,7.9622,5.4014
-5.4402,-5.1494,-11.675,-0.78858,-15.671,-1.0095,-6.226,-4.1841,-1.5055,-3.8132,-1.5747,-2.5605,-4.9118,3.0119,2.4652,-0.033931,-1.5015,1.5101,6.6198,7.0535,4.4522
-5.4188,-5.2877,-9.3014,-2.6708,-11.193,-1.5183,-5.5658,-3.0945,-0.0081111,-3.8413,-0.89216,-4.3016,-3.9874,4.817,2.6049,0.051386,-0.72734,2.1814,7.385,6.7583,4.5704
-4.9252,-5.6694,-6.8027,-2.5306,-5.754,-1.6044,-4.0664,-1.2879,0.83301,-4.5503,0.60475,-4.9956,-1.531,6.6811,3.4487,1.2212,1.0836,3.5865,8.4684,6.8424,5.4923
-3.9779,-5.9404,-5.3006,0.17832,-2.7142,-0.976,-2.3563,0.098719,0.75976,-5.8395,2.6644,-4.3524,1.6134,8.2185,4.6109,3.1388,3.0621,5.0014,9.3814,6.9358,6.502
-2.7194,-5.5381,-5.0191,4.1615,-3.5125,0.35416,-1.0288,0.38517,0.23177,-7.0512,4.8936,-2.5011,3.8106,9.3266,5.1681,5.2537,4.2496,5.5885,9.7714,6.7112,6.6384
-1.4129,-4.0899,-5.2307,7.1998,-6.5868,2.0516,-0.29757,-0.19181,0.072905,-7.5971,6.7967,0.016198,3.771,10.054,4.2039,6.9295,4.1094,4.8977,9.4635,6.0743,5.2611
-0.29433,-1.7693,-4.8969,7.792,-8.6279,3.6368,0.062329,-0.71625,0.92794,-7.4815,7.853,2.5205,1.7054,10.382,1.6544,7.6513,2.85,3.2323,8.4724,5.2357,2.5642
