col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,Indicator
1,0.232,1,0.081436,0.079338,1,0.07653,0.079097,0.07896,1,0.065362,0.063707,0.16899,0.077751,1,0.059101,0.06188,0.061658,0.1223,0.061436,1,0.053499,0.051245,0.098212,0.064298,0.10985,0.069952,1,-
1,0.23673,1,0.073537,0.074215,1,0.070706,0.07755,0.073179,1,0.05769,0.059011,0.10284,0.073629,1,0.05733,0.058264,0.053514,0.086178,0.057568,1,0.050341,0.051789,0.068953,0.056309,0.075835,0.062293,1,-
1,0.2073,1,0.074568,0.068566,1,0.075868,0.076643,0.067458,1,0.059775,0.060891,0.1743,0.070048,1,0.063956,0.065161,0.056198,0.14609,0.060967,1,0.054667,0.055292,0.10981,0.064218,0.15931,0.066625,1,+
1,0.4124,1,0.065928,0.062628,1,0.097506,0.10255,0.058702,1,0.055633,0.055184,0.11129,0.078198,1,0.0581,0.061405,0.050594,0.11511,0.061952,1,0.05365,0.055759,0.063277,0.05657,0.097587,0.066441,1,+
1,0.22101,1,0.086905,0.083055,1,0.087907,0.086124,0.067348,1,0.064633,0.06173,0.14372,0.064289,1,0.061514,0.063373,0.053297,0.094341,0.054591,1,0.050291,0.050183,0.081034,0.052003,0.10145,0.05629,1,+
1,0.21516,1,0.074304,0.069466,1,0.082698,0.084657,0.076248,1,0.059563,0.061349,0.11862,0.082778,1,0.058599,0.06123,0.05236,0.088817,0.057931,1,0.050633,0.051873,0.05632,0.056887,0.064101,0.07753,1,+
1,0.1922,1,0.068559,0.066803,1,0.071668,0.075549,0.067392,1,0.057814,0.05819,0.13282,0.082423,1,0.058488,0.062982,0.051446,0.10715,0.056303,1,0.051818,0.05195,0.067656,0.055893,0.086282,0.071058,1,+
1,0.42337,1,0.11377,0.11106,1,0.070194,0.078297,0.068066,1,0.070199,0.072884,0.14839,0.077092,1,0.06135,0.06371,0.054383,0.15176,0.058923,1,0.058996,0.060751,0.092217,0.077623,0.12935,0.069776,1,+
1,0.2854,1,0.10386,0.11024,1,0.076061,0.084619,0.12768,1,0.071938,0.079441,0.19318,0.19567,1,0.055002,0.056506,0.059142,0.11469,0.079899,1,0.054519,0.053549,0.067324,0.07913,0.088723,0.13681,1,+
1,0.45246,1,0.19113,0.18487,1,0.091972,0.098649,0.086934,1,0.10977,0.11184,0.15907,0.094331,1,0.07313,0.072658,0.07125,0.087755,0.072433,1,0.06639,0.065756,0.074648,0.065115,0.078939,0.086799,1,+
