84,3064.6,2543.8,2681.6,2493.6,1567.4,1266.8,-579.67,-66.764
88,3223.5,2701.4,2843,2542.9,1744.1,1266.2,-573.55,-92.926
92,3208.2,2741.3,2912.9,2538.6,1883.5,1267.6,-515.27,-28.167
96,3049,2669.7,2883.4,2486.7,1948.7,1272.8,-437.3,94.901
100,2808.5,2513.7,2769.2,2402.4,1936.9,1280.9,-368.51,233.52
104,2557.6,2313.7,2604.9,2304.4,1879,1288.7,-322.76,353.49
108,2355.3,2116,2431.6,2209.2,1819.2,1292.7,-299.34,439.05
112,2238.4,1964.5,2280.9,2128.6,1790.1,1290.1,-291.01,492.15
116,2220.3,1889,2166.9,2069.5,1797.6,1280.2,-290.32,526.46
120,2295.4,1897.7,2089.8,2036.7,1825.7,1265.8,-288.17,561.48
124,2445.1,1975.5,2047.7,2033.7,1852.5,1253,-268.93,617.45
128,2642.4,2092.2,2045.5,2061.6,1867.6,1248.1,-211.75,708.19
132,2856.4,2216.2,2092,2116.4,1876.1,1254.1,-103.09,831.99
136,3055.6,2326.1,2187.6,2187.7,1892.8,1267,47.065,966.35
140,3212.4,2414.8,2312.9,2259.5,1930.1,1276.5,200.37,1073.3
144,3306.4,2483.7,2427.6,2313.4,1990,1270.6,305.8,1115.5
148,3328,2531.5,2484.2,2330.3,2062.7,1240.4,328.94,1074.2
152,3279.2,2545,2448.2,2292.5,2130.4,1183.4,275.5,957.15
156,3173.5,2499.9,2313.3,2186.3,2173.1,1103.7,191.71,792.33
160,3031,2373.1,2103.4,2009,2174.2,1010.8,139.92,613.09
164,2872,2159.1,1861.8,1774.6,2126.7,918.25,164.71,445.7
168,2709.8,1880.6,1633.9,1515.7,2037.3,842.13,270.81,306.57
172,2550.7,1584.7,1451.9,1276,1927.1,798.73,424.72,207.3
176,2398.5,1326.2,1329.6,1095.3,1826.3,799.18,576.6,160.15
180,2262.5,1146.6,1264.9,994.92,1762.4,843.72,686.5,177.45
184,2159,1060.2,1246.2,971.71,1749.5,919.4,739.58,264.39
188,2104.4,1053,1257.5,1003.1,1782.4,1004.2,743.93,410.66
192,2104.2,1094.5,1280.4,1060.1,1840.7,1076.9,717.47,588.38
196,2146.9,1154.9,1296.6,1120.9,1899,1126.8,675.67,760.49
200,2209.1,1218.8,1293.6,1179.6,1939.7,1158.9,628.12,896.56
204,2269.7,1290.4,1271.3,1247.4,1959.4,1190.2,582.56,987.22
208,2323.5,1387,1244.9,1346.4,1967.8,1241.3,548.96,1048.2
212,2385.6,1526.1,1241.1,1498,1978.9,1325.4,537.92,1110.3
216,2482,1714.6,1287,1712.2,2002.3,1443.1,554.7,1201.4
220,2632.5,1943.9,1400.4,1980.9,2039.6,1582.8,595.33,1329.8
224,2835.3,2194.6,1584.5,2279.8,2087.8,1726.8,649.17,1480.5
228,3063.3,2445,1829.1,2577.5,2146.1,1859.6,706.3,1623.5
232,3274.5,2679.7,2115.6,2847.6,2220.1,1973.3,764.16,1731.9
236,3432.2,2893.2,2421.8,3077.4,2320.2,2068.8,829.15,1798.6
240,3523.3,3088.4,2726.4,3270.3,2454,2154,913.27,1843.7
244,3564,3271.5,3012.2,3441.4,2620.2,2238.2,1028.5,1907.3
248,3590.5,3445.5,3268.6,3608.8,2805.9,2329.2,1180.9,2030.2
252,3639,3606.5,3491.7,3786,2989.5,2430.8,1365.1,2230.3
256,3728.3,3742.4,3681.4,3975.3,3147.3,2541.8,1561.7,2489.1
260,3851.4,3838.4,3837.7,4165.9,3259.9,2656.7,1740.8,2754.5
264,3980.8,3882.9,3956.6,4335.9,3317.1,2765.8,1872.4,2963
268,4081.1,3873.2,4030.6,4459.4,3321.4,2856.9,1940.2,3066
272,4124.2,3817.2,4052,4515.3,3286.9,2918,1950.1,3051
276,4100,3731,4018.6,4496.4,3237.3,2941.3,1928.4,2944.3
280,4019.9,3634.3,3938.6,4413,3198.4,2927.3,1907.6,2799.8
284,3912.5,3544.6,3831.8,4290.6,3190.5,2885.8,1910.2,2676.7
288,3813.8,3472.5,3724.7,4160.1,3220.6,2833.7,1940.1,2619.1
292,3755,3419.4,3642.3,4046.7,3279.1,2787.5,1986.6,2641.6
296,3754.3,3378.4,3600.6,3960.9,3343.6,2756.1,2038.4,2727.9
